sId;sOpTeam;sAwTeam;sTsTeam
f0563;Houston Dynamo;;Houston
f0564;Huddersfield U21;;
f0565;Hull U21;;
f0566;Humaita;;
f0567;Huracan;CA Huracan;Huracan
f0568;Hvidovre IF;Hvidovre IF;
f0569;Chacarita Juniors;;Chacarita
f0570;Chaco For Ever;;Chaco For Ever
f0571;Chapecoense-SC;;Chapecoense
f0572;Charleroi;;Charleroi
f0573;Charlestown Azzurri;;Charlestown Azzurri
f0574;Charlton W;;Charlton  
f0575;Chateauroux;;Chateauroux
f0576;Chaves;;Chaves
f0577;Chelsea U19;;
f0578;Chelsea W;;Chelsea  
f0579;Cheltenham;;Cheltenham
f0580;Chemie Leipzig;;
f0581;Chemnitzer;;
f0582;Chiangrai Utd;;
f0583;Chiba;;Chiba
f0584;Chicago Fire;;Chicago
f0585;Chippenham;;
f0586;Chivilcoy;;
f0587;Chojniczanka;;
f0588;Choloma;;
f0589;Iceland;;
f0590;Igdir FK;Igdir FK;Igdir FK
f0591;Imabari;;Imabari
f0592;Imisli FK;;Imisli
f0593;IMT Novi Beograd;;IMT Novi Beograd
f0594;Ind. Medellin;;
f0595;Ind. Rivadavia;;
f0596;Ind. Yumbo;;
f0597;Independencia;;Independencia
f0598;Independente AP;;
f0599;Independiente;;
f0600;Inter Bogot ;;Inter Bogot 
f0601;Inter de Limeira;;
f0602;Inter F.A;;Inter F.A
f0603;Inter Miami;;Inter Miami
f0604;Internacional;;
f0605;Ipswich;;
f0606;Ipswich U21;;
f0607;IR Reykjavik;;
f0608;IR Tanger;;Ittihad Tanger
f0609;Irapuato;;
f0610;Ironi Baka;;
f0611;Ironi Modiin;;
f0612;Ironi Nesher;;
f0613;Istanbulspor AS;;
f0614;Istra 1961;;
f0615;Itabaiana;;
f0616;Itacoatiara;;
f0617;Ittihad Kalba;;
f0618;Ituano;;
f0619;Ituzaingo;;Ituzaingo
f0620;Iwaki;;Iwaki
f0621;Jacuipense;;
f0622;Jaen;;
f0623;Jagiellonia;Bialystok;Bialystok
f0624;Jamaica;;Jamajka
f0625;Jamshedpur;;Jamshedpur
f0626;Jeddah;;
f0627;Jedinstvo U.;;Jedinstvo Ub
f0628;Jelenia Gora;;
f0629;Jena;;
f0630;Jerusalem FC;;
f0631;Jeunesse Canach;;Jeunesse Canach
f0632;Jihlava;Jihlava;Jihlava
f0633;Ji-Parana;;
f0634;Jong Ajax;Jong Ajax;Jong Ajax
f0635;Jong AZ;;
f0636;Jong PSV;;Jong PSV
f0637;Jong Utrecht;;Jong Utrecht
f0638;JS Kairouan;;
f0639;Juan Pablo II;;Juan Pablo II
f0640;Juticalpa;;Juticalpa
f0641;Juve Stabia;;Juve Stabia
f0642;Juventud;;Juventud de Las Piedras
f0643;Juventude;;Juventude
f0644;Juventus;;
f0645;Juventus U23;;Juventus Torino Next Gen
f0646;Juventus-SP;;
f0647;Kabel Novi Sad;;Kabel Novi Sad
f0648;Kabylie;;Kabylie
f0649;Kagoshima Utd;;Kagoshima United
f0650;Kahibah;;Kahibah
f0651;Kaiserslautern;;Kaiserslautern
f0652;Kakamega Homeboyz;;
f0653;Kamatamare;;Kamatamare
f0654;Kamaz;;
f0655;Kanazawa;;Kanazawa
f0656;KaPa;;K Pa Helsinki
f0657;Kapaz;;Kapaz
f0658;Karagumruk;Fatih Karagumruk SK;Karagumruk
f0659;Karcagi;;Karcagi
f0660;Kariobangi Sharks;;
f0661;Karlovac;;
f0662;Karlstad;;IF Karlstad
f0663;Karpaty Lviv;;Karpaty Lviv
f0664;Kawkab Marrakech;;
f0665;Kayserispor;;Kayserispor
f0666;KCB;;
f0667;Kerala Blasters;;Kerala Blasters
f0668;Kerry;;Kerry
f0669;Kfar Saba 1928;;
f0670;Khemis El Khechna;;
f0671;Khonkaen Utd.;;
f0672;Khorfakkan;;Khor Fakkan
f0673;Khroub;;
f0674;Kifisia;;Kifisias
f0675;Kirivong Sok Sen Chey;;
f0676;Koge;;
f0677;Kochi United;;Kochi United
f0678;Kolding IF;Kolding IF;
f0679;Koln II;;
f0680;Kolos Kovalivka;;Kolos Kovalivka
f0681;Konyaspor;Konyaspor;Konyaspor
f0682;Korofina;;
f0683;Kortrijk;;Kortrijk
f0684;Kozarmisleny SE;;Koz rmisleny
f0685;Kromeriz;;
f0686;Kuala Lumpur City;;Kuala Lumpur City FC
f0687;Kuching City FC;;Kuching City FC
f0688;KuPS;;
f0689;KV Mechelen;;KV Mechelen
f0690;Kyoto;Kyoto Sanga FC;Kyoto
f0691;La Serena;;La Serena
f0692;La Viena;;
f0693;Lafnitz;;
f0694;Lahti;;FC Lahti
f0695;Laktasi;;
f0696;Lamphun Warrior;;
f0697;Langwarrin;;
f0698;Lanus;;Lanus
f0699;LASK;;LASK Linz
f0700;LASK (Am);;
f0701;Lausanne;;Lausanne
f0702;Lausanne Ouchy;;Lausanne Ouchy
f0703;Laval;;Laval
f0704;Le Havre;;Le Havre
f0705;Le Puy-en-Velay;;
f0706;Lecco;;Lecco
f0707;Leczna;Gornik Leczna;Leczna
f0708;Legia U19;;
f0709;Lech Poznan;;
f0710;Lechia Gdansk;;Gda sk
f0711;Leiknir;;
f0712;Leixoes U23;;
f0713;Lens;Lens;Lens
f0714;Leones;;
f0715;Leones del Norte;;Leones del Norte
f0716;Leopards;;
f0717;Levadiakos;;Levadiakos
f0718;Levante;;Levante
f0719;Levski Sofia;;Levski Sofia
f0720;Liberec W;;Liberec  
f0721;Liberia;;Liberia
f0722;Libertad Asuncion;Libertad Asuncion;Libertad Asuncion
f0723;Liefering;;Liefering
f0724;Lille;Lille;Lille
f0725;Linense;;
f0726;Liniers;;CSD Liniers
f0727;Lion City;;Lion City Sailors
f0728;Liverpool;;Liverpool
f0729;Liverpool M.;;
f0730;Liverpool W;;Liverpool  
f0731;Livingston;;Livingston
f0732;Llanelli;;Llanelli
f0733;Lokomotive Leipzig;;Loko Leipzig
f0734;Lommel SK U21;;
f0735;Longford;;
f0736;Lorient;;Lorient
f0737;Los Andes;;Los Andes
f0738;Los Angeles FC;;Los Angeles FC
f0739;Los Angeles Galaxy;;
f0740;Los Chankas;;Los Chankas
f0741;Ludogorets;;
f0742;Lugano;;Lugano
f0743;Lugo;;Lugo
f0744;Luis Angel Firpo;;Luis Angel Firpo
f0745;Lumezzane;;Lumezzane
f0746;Lusitania FC;;Lusitania Lourosa
f0747;Luzern;;Luzern
f0748;Lyngby;;Lyngby
f0749;Lyon;;Lyon
f0750;M. Ironi Ashdod;;
f0751;M. Ironi Kiryat Malachi;;
f0752;Maastricht;;Maastricht
f0753;Macara;;Macar 
f0754;Macarthur FC;;Macarthur FC
f0755;Maccabi Haifa U19;;
f0756;Maccabi Jaffa;;
f0757;Maccabi Neve Shaanan Eldad;;
f0758;Maccabi Petah Tikva;;
f0759;Maccabi Yavne;;
f0760;Macva;;Ma va  abac
f0761;Madagascar W;;
f0762;Madura United;;Madura United
f0763;Mafra;;
f0764;Magesi;;Magesi
f0765;Maghreb Fez;;
f0766;Magra;;
f0767;Maguary;;
f0768;Machida;;Machida
f0769;Maitland;;Maitland
f0770;Majd FC;;
f0771;Malaga;;M laga
f0772;Mallorca;;Mallorca
f0773;Malmo FF;;Malm  FF
f0774;Managua FC;;FC Managua
f0775;Manauara;;
f0776;Manchester Utd W;;Manchester United  
f0777;Manisa FK;;Manisa FK
f0778;Manly Utd;;Manly United
f0779;Mara Sugar;;
f0780;Maranhao;;
f0781;Marathon;;Marath n
f0782;Marbella;;Marbella
f0783;Marconi Stallions;;Marconi Stallions
f0784;Marchfeld;;
f0785;Maribor;;Maribor
f0786;Marica;;Maric 
f0787;Marquense;;Marquense
f0788;Martinique;;Martinique
f0789;Masar;;
f0790;Masfut;;
f0791;MC Alger;;MC Alger
f0792;Mechal;;
f0793;Mekelle 70 Enderta;;
f0794;Melbourne Knights;;
f0795;Melbourne Victory;;Melbourne Victory
f0796;Meppen;;
f0797;Metlaoui;;
f0798;Meuselwitz;;Meuselwitz
f0799;Mexico;;
f0800;Mezokovesd-Zsory;;Mez k vesd
f0801;Mictlan;CD Mictlan;Mictl n
f0802;Midland;;Ferrocarril Midland
f0803;Midtjylland;;Midtjylland
f0804;Miguelito;;
f0805;Millonarios;;Millonarios
f0806;Millwall;;
f0807;Mingachevir;;
f0808;Minnesota United;;Minnesota United
f0809;Mito;;Mito
f0810;Mixto;;Mixto
f0811;Mjallby;;
f0812;Mlada Boleslav;;Mlad  Boleslav
f0813;MO Bejaia;;
f0814;MO Constantine;;
f0815;Modena;;Modena
f0816;Modern Sport;;
f0817;MOIK Baku;;
f0818;Monaco;;
f0819;Monagas;;
f0820;Mondorf;;Mondorf
f0821;Monopoli;;Monopoli
f0822;Montana;;Montana
f0823;Monte Azul;;
